positivoDeRisco,,Altimetria,Amplitude,ConcavoConv,Curvatura+,Curvatura-,Declividade,FreqOcorrencia,Geom,Indice desvios de curvatura,Litoestrutural,Ocorrencia,OrientacaoEncosta,PositivodeRisco-Shalstab,PositivodeRiscoIPT,PositivodeRiscoSaga,PositivodeRiscoSmorph,RISCOALTO,RISCOMEDIO,RISCOMUITO,UsoSolo,VALUE,VALUE_1,VALUE_1.1,VALUE_1.2,VALUE_1.3,VALUE_2,VALUE_2.1,VALUE_2.2,VALUE_2.3,VALUE_3,VALUE_3.1,VALUE_3.2,VALUE_3.3,VALUE_4,VALUE_4.1,VALUE_4.2,VALUE_5,VALUE_5.1,VALUE_5.2
0,count,4172.0,4170.0,4172.0,4172.0,4172.0,4172.0,4172.0,4168.0,4172.0,4168.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4168.0,4168.0,4168.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0,4172.0
0,mean,735.7571907957814,13.652278177458033,6.709796831751666,1.3294460285994725,-1.6267119903851854,16.640699904122723,0.053691275167785234,5.195057581573896,2.0725264831476533,3.340451055662188,0.040508149568552254,5.9110738255033555,0.7799616490891659,0.6464525407478428,0.37392138063279,0.3401246404602109,29.77831094049904,91.2236084452975,20.952015355086374,2.8837488015340362,153137.90244487056,97.60882070949185,138.5340364333653,148.1457334611697,148.1706615532119,25.922339405560884,3.707574304889741,4.429530201342282,4.256951102588687,19.279961649089167,21.389261744966444,36.88686481303931,37.034515819750716,11.269415148609779,12.730584851390221,0.0,35.38159156279961,9.584851390220518,0.0
0,std,52.45409001597994,17.44453433628863,22.41483611085832,1.4744274098846837,1.5454330559006206,13.839633713279047,0.30419947113041884,2.885147212661396,5.327974854206435,2.5025976402305767,0.19717139202569228,2.38502120624164,0.4143218813930427,0.4781280672770341,0.4839011349132874,0.47380763925743563,60.67943274907658,75.64909517247993,56.831290967971924,0.3925151330123794,41468.81429497637,69.567395635158,81.5697029474906,84.7188128235827,84.70418505852422,28.7034575808561,16.176051635800512,20.205218305436443,20.174523532529374,25.461442706242142,45.1719319685041,65.27258852535867,65.45586786278157,15.659383692214128,20.006311503361722,0.0,48.66672265117482,29.751375109937282,0.0
0,min,680.0,0.0,0.0036765,0.0,-12.55,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,25%,690.0,5.0,0.25,0.389455,-2.1441825,5.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,125288.0,40.0,68.0,72.0,72.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,50%,730.0,5.0,0.9090909,0.85366,-1.35714,10.0,0.0,6.0,1.132545,3.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,96.0,0.0,3.0,139969.5,88.0,140.0,152.0,152.0,16.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,4.0,0.0,20.0,0.0,0.0
0,75%,773.0,20.0,2.4,1.688805,0.0,30.0,0.0,8.0,2.1559749999999998,5.0,0.0,8.0,1.0,1.0,1.0,1.0,12.0,152.0,0.0,3.0,195440.25,144.0,197.0,212.0,212.0,36.0,0.0,0.0,0.0,28.0,20.0,56.0,56.0,16.0,16.0,0.0,48.0,0.0,0.0
0,max,914.0,80.0,296.0,13.28947,0.0,60.0,6.0,8.0,200.750002,8.0,1.0,9.0,1.0,1.0,1.0,1.0,320.0,320.0,328.0,5.0,213586.0,320.0,324.0,344.0,344.0,244.0,276.0,312.0,312.0,276.0,316.0,320.0,320.0,172.0,236.0,0.0,316.0,292.0,0.0
1,count,11372.0,11371.0,11372.0,11372.0,11372.0,11372.0,11372.0,11363.0,11372.0,11363.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11369.0,11369.0,11369.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0
1,mean,753.7378649314105,12.35291531087855,5.525835741830461,2.4287257085561857,-2.7691466625678864,23.20128385508266,0.08274709813577207,3.776643492035554,1.7212625127489458,3.0030801724896596,0.060323601829053816,5.951371790362293,0.7331164263102357,0.9874252550123109,0.5860007034822371,0.7173760112557158,55.145747207318145,74.02234145483332,24.379628815199226,2.894477664438973,148220.87574744987,141.90784382694338,123.74744987689061,140.08476960956736,109.15828350334154,23.641927541329583,0.7604642982764686,30.034470629616603,1.5388673935983117,15.15511783327471,15.180443193809356,40.748153359127684,40.90643686246922,9.091804431938094,62.620119591980306,30.59971860710517,21.070699964825888,3.9862820963770664,28.664087231797396
1,std,42.04104260730177,11.293917506108238,18.01755207796939,1.4883733202351856,1.5586217580389448,8.524162975496406,0.3867853869980417,2.6138420948168988,3.1035012007525378,2.59443862775106,0.23809588386111186,2.269156882529223,0.44235047013295414,0.11143479138593419,0.49257000955866104,0.45029490333722244,73.19115427986806,79.8550754099293,55.807457714558325,0.43618064727791017,43509.986023295525,64.88430231333427,55.96155152397723,62.886249307431335,61.41248830622762,25.7743226713704,4.142729933865313,28.616481994301324,9.897255222817739,19.088605131031006,30.521065861316917,47.15987391612607,47.2502496470531,12.81196124361366,40.56336512363904,29.451345529610137,29.10072325010661,15.475297009068544,28.11838612876067
1,min,680.0,5.0,0.003623188,0.0,-31.1875,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25%,720.0,5.0,0.3076923,1.33333,-3.4454000000000002,15.0,0.0,2.0,0.75,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,125270.75,96.0,84.0,96.0,64.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,8.0,0.0,0.0,8.0
1,50%,750.0,10.0,0.9,2.1428585715,-2.47059,20.0,0.0,3.0,1.159815,1.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,44.0,0.0,3.0,138742.5,140.0,124.0,140.0,104.0,16.0,0.0,20.0,0.0,8.0,0.0,24.0,24.0,4.0,56.0,24.0,12.0,0.0,20.0
1,75%,780.0,20.0,2.5,3.25581,-1.76923,30.0,0.0,7.0,1.8701691440000001,5.0,0.0,8.0,1.0,1.0,1.0,1.0,120.0,144.0,0.0,3.0,190843.0,184.0,160.0,184.0,148.0,32.0,0.0,44.0,0.0,24.0,16.0,64.0,64.0,16.0,88.0,44.0,32.0,0.0,40.0
1,max,957.0,80.0,272.0,13.48718,0.0,60.0,8.0,8.0,185.52226,8.0,1.0,9.0,1.0,1.0,1.0,1.0,320.0,320.0,316.0,5.0,213599.0,320.0,320.0,324.0,320.0,296.0,100.0,244.0,232.0,232.0,292.0,308.0,308.0,128.0,284.0,236.0,248.0,244.0,248.0
