numNeuronios,meanAp,stdAp,melhorResultadoDasRedes
1,0.313816953515,0.0,0.313816953515
2,0.391872765832,0.156111624634,0.7040960151
3,0.466443243903,0.187280518461,0.713535903588
4,0.537856522149,0.183427442192,0.700943422486
5,0.467067329833,0.187819959793,0.707876847615
6,0.464695542837,0.18489088926,0.700775324366
7,0.606108304905,0.146770143104,0.704694858942
8,0.54952652223,0.192486739807,0.712320960208
9,0.472022554537,0.193786078328,0.714210982033
10,0.616547380483,0.152633788605,0.720527266784
11,0.694081021688,0.0180752899799,0.712704292666
12,0.698107816648,0.00675452999722,0.708467031955
13,0.685468617113,0.00736448970472,0.694537163834
14,0.684753700306,0.016459946239,0.703855692337
15,0.684737604535,0.0116677794097,0.696479196487
16,0.684685663475,0.00795062423986,0.696064815935
17,0.684482819714,0.0166841592271,0.70703815515
18,0.693158029874,0.0103239361524,0.706468864539
19,0.688152946191,0.00836548015568,0.699688821661
